Disease,Diet
Fungal infection,"Avoid sugar and refined carbs, eat probiotic foods like yogurt, garlic, ginger, and leafy greens."
Allergy,"Anti-inflammatory foods, omega-3 rich foods, avoid known allergens, eat fresh fruits and vegetables."
GERD,"Avoid spicy, fatty, acidic foods; eat smaller meals; avoid coffee, alcohol, chocolate, and mint."
Chronic cholestasis,"Low-fat diet, high-fiber foods, avoid alcohol completely, eat small frequent meals, vitamin supplements."
Drug Reaction,"Light easily digestible foods, avoid alcohol, drink plenty of water, eat antioxidant-rich foods."
Peptic ulcer diseae,"Eat fiber-rich foods, probiotics, avoid spicy/acidic/fried foods, no alcohol or caffeine."
AIDS,"High protein diet, fruits, vegetables, whole grains, avoid raw/undercooked food, stay hydrated."
Diabetes,"Low glycemic index foods, whole grains, leafy vegetables, avoid sugar and refined carbs, control portions."
Gastroenteritis,"BRAT diet (Banana, Rice, Applesauce, Toast), clear fluids, avoid dairy, fatty, spicy foods."
Bronchial Asthma,"Anti-inflammatory foods, omega-3 fatty acids, vitamin D rich foods, avoid sulfites and processed foods."
Hypertension,"DASH diet, low sodium, high potassium foods, leafy greens, berries, avoid alcohol and caffeine."
Migraine,"Avoid caffeine, alcohol, aged cheese, processed meats; eat regular meals, stay hydrated."
Cervical spondylosis,"Calcium-rich foods, vitamin D, anti-inflammatory foods, omega-3, avoid processed and junk food."
Paralysis (brain hemorrhage),"Heart-healthy diet, omega-3, antioxidants, low sodium, high fiber, avoid alcohol and saturated fats."
Jaundice,"High fiber, low fat diet, fruits, vegetables, avoid alcohol completely, drink plenty of water."
Malaria,"Light easily digestible foods, fruit juices, soups, ORS, avoid heavy and spicy foods."
Chicken pox,"Soft foods, yogurt, fruits, vegetables, avoid salty and spicy foods, drink plenty of fluids."
Dengue,"High fluid intake, papaya, pomegranate juice, soft foods, avoid spicy and oily foods."
Typhoid,"High calorie soft diet, boiled foods, bananas, rice, boiled potatoes, avoid raw vegetables."
hepatitis A,"Light low-fat diet, fresh fruits, vegetables, avoid alcohol completely, stay well hydrated."
Hepatitis B,"High protein, antioxidant-rich foods, fresh fruits and vegetables, avoid alcohol and fatty foods."
Hepatitis C,"Low-fat high-fiber diet, fruits and vegetables, avoid alcohol, limit iron-rich foods if advised."
Hepatitis D,"High protein low fat diet, avoid alcohol, fresh fruits and vegetables, whole grains."
Hepatitis E,"Light easily digestible foods, boiled water, fruits, vegetables, avoid fatty and spicy foods."
Alcoholic hepatitis,"High protein, vitamin-rich diet, avoid alcohol completely, eat small frequent meals, stay hydrated."
Tuberculosis,"High calorie high protein diet, vitamin D rich foods, fruits, vegetables, avoid alcohol and smoking."
Common Cold,"Warm soups, herbal teas, vitamin C rich foods, citrus fruits, honey, avoid cold and dairy foods."
Pneumonia,"High protein foods, vitamin C and D rich foods, warm soups, avoid cold drinks and dairy."
Dimorphic hemmorhoids(piles),"High fiber diet, plenty of water, fruits, vegetables, whole grains, avoid spicy and processed foods."
Heart attack,"Heart-healthy diet, Mediterranean diet, omega-3, fiber, fruits, vegetables, low sodium, no saturated fats."
Varicose veins,"High fiber, low salt diet, flavonoid-rich foods, berries, grapes, avoid processed and high-sodium foods."
Hypothyroidism,"Iodine-rich foods like seafood, dairy, eggs; avoid goitrogens like raw cabbage and soy in excess."
Hyperthyroidism,"Calcium-rich foods, vitamin D, cruciferous vegetables, avoid iodine-rich foods and caffeine."
Hypoglycemia,"Regular small meals, complex carbohydrates, protein with each meal, avoid alcohol on empty stomach."
Osteoarthristis,"Anti-inflammatory foods, omega-3, fruits, vegetables, vitamin D and calcium, avoid processed foods."
Arthritis,"Mediterranean diet, omega-3 fatty acids, anti-inflammatory foods, avoid sugar, alcohol, processed foods."
(vertigo) Paroymsal  Positional Vertigo,"Low sodium diet, stay hydrated, avoid caffeine and alcohol, vitamin D rich foods."
Acne,"Low glycemic foods, omega-3, zinc-rich foods, probiotics, avoid dairy, sugar, and processed foods."
Urinary tract infection,"Plenty of water, cranberry juice, probiotic foods, vitamin C rich foods, avoid spicy and acidic foods."
Psoriasis,"Anti-inflammatory diet, omega-3, fruits and vegetables, avoid alcohol, red meat, and processed foods."
Impetigo,"Immune-boosting foods, vitamin C, zinc-rich foods, probiotics, stay hydrated, avoid sugar."
