Disease,When_to_See_Doctor
Fungal infection,"If rash spreads rapidly, does not improve after 2 weeks, causes severe itching or pain."
Allergy,"If you experience difficulty breathing, swelling of throat, severe rash, or anaphylaxis."
GERD,"If symptoms occur more than twice a week, difficulty swallowing, chest pain, or vomiting blood."
Chronic cholestasis,"If jaundice appears, severe itching, dark urine, pale stools, or abdominal pain persists."
Drug Reaction,"Immediately if breathing difficulty, swelling of face/throat, severe rash, or fever develops."
Peptic ulcer diseae,"If vomiting blood, black tarry stools, sudden severe abdominal pain, or unexplained weight loss."
AIDS,Immediately upon HIV diagnosis; regular monitoring every 3-6 months is essential.
Diabetes,"If blood sugar is uncontrolled, vision changes, numbness in feet, frequent infections, or chest pain."
Gastroenteritis,"If dehydration signs appear, blood in stool, fever above 102°F, symptoms last more than 3 days."
Bronchial Asthma,"If breathing is very difficult, blue lips, inhaler not working, or severe wheezing occurs."
Hypertension,"If BP exceeds 180/120, severe headache, vision changes, chest pain, or difficulty breathing."
Migraine,"If headache is worst ever, sudden onset, with fever/stiff neck, vision loss, or after head injury."
Cervical spondylosis,"If numbness in arms/hands, loss of bladder control, severe neck pain, or coordination problems."
Paralysis (brain hemorrhage),IMMEDIATELY — This is a medical emergency. Call ambulance at first signs.
Jaundice,"If jaundice is severe, with abdominal pain, fever, confusion, or dark urine and pale stools."
Malaria,"Immediately if high fever with chills, confusion, difficulty breathing, or severe weakness."
Chicken pox,"If rash spreads to eyes, high fever, difficulty breathing, or rash becomes infected."
Dengue,"If platelet count drops rapidly, bleeding from nose/gums, severe abdominal pain, or vomiting blood."
Typhoid,"If fever persists beyond a week, severe abdominal pain, confusion, or intestinal bleeding occurs."
hepatitis A,"If severe vomiting, jaundice worsens, confusion, or inability to keep fluids down."
Hepatitis B,"Regular monitoring needed; immediately if jaundice, severe fatigue, or abdominal swelling occurs."
Hepatitis C,"Regular monitoring essential; see doctor if fatigue worsens, jaundice, or abdominal pain occurs."
Hepatitis D,"Immediately if rapid deterioration, severe jaundice, confusion, or liver failure signs appear."
Hepatitis E,"If pregnant, jaundice worsens, confusion, inability to eat or drink, or liver failure signs."
Alcoholic hepatitis,"Immediately if jaundice, confusion, severe abdominal pain, vomiting blood, or swollen abdomen."
Tuberculosis,"Immediately if persistent cough over 3 weeks, blood in sputum, night sweats, or unexplained weight loss."
Common Cold,"If fever above 103°F, symptoms last more than 10 days, difficulty breathing, or ear pain."
Pneumonia,"Immediately if breathing is very difficult, lips turn blue, high fever, or confusion develops."
Dimorphic hemmorhoids(piles),"If severe pain, heavy bleeding, prolapsed hemorrhoids, or no improvement after home treatment."
Heart attack,"IMMEDIATELY — Call emergency services at first sign of chest pain, arm pain, or shortness of breath."
Varicose veins,"If severe pain, skin ulcers, blood clots, bleeding from varicose veins, or significant swelling."
Hypothyroidism,"If extreme fatigue, rapid weight gain, severe depression, irregular heartbeat, or myxedema coma signs."
Hyperthyroidism,"If rapid heartbeat, extreme tremors, high fever, confusion, or thyroid storm symptoms appear."
Hypoglycemia,"If blood sugar below 70mg/dL, unconsciousness, seizures, or frequent unexplained episodes occur."
Osteoarthristis,"If joint pain severely limits daily activities, joint swelling increases, or deformity develops."
Arthritis,"If joint pain and stiffness lasts more than a week, significant swelling, or fever with joint pain."
(vertigo) Paroymsal  Positional Vertigo,"If vertigo is severe, with hearing loss, double vision, difficulty walking, or after head injury."
Acne,"If severe cystic acne, causes scarring, does not improve after 3 months, or affects self-esteem."
Urinary tract infection,"If fever with chills, back pain, blood in urine, symptoms in men, or recurring UTIs occur."
Psoriasis,"If psoriasis covers large areas, causes severe itching/pain, joint pain, or affects quality of life."
Impetigo,"If spreading rapidly, fever develops, deep sores form, or does not improve within 3 days."
