Disease,Causes
Fungal infection,"Caused by fungal organisms like dermatophytes, candida, or mold that thrive in warm, moist environments."
Allergy,"Immune system overreaction to substances like pollen, dust, pet dander, food, or insect stings."
GERD,Weak lower esophageal sphincter allowing stomach acid to flow back into the esophagus.
Chronic cholestasis,"Bile flow blockage due to liver disease, gallstones, primary biliary cirrhosis, or medication side effects."
Drug Reaction,"Adverse immune response or toxic reaction to medications including antibiotics, NSAIDs, or chemotherapy drugs."
Peptic ulcer diseae,"H. pylori bacterial infection, long-term NSAID use, excess stomach acid production."
AIDS,Advanced stage of HIV infection that severely damages the immune system leaving body vulnerable to infections.
Diabetes,Insulin deficiency or resistance leading to high blood sugar levels affecting multiple organ systems.
Gastroenteritis,"Viral, bacterial, or parasitic infection of the stomach and intestines through contaminated food or water."
Bronchial Asthma,"Chronic airway inflammation triggered by allergens, exercise, cold air, smoke, or respiratory infections."
Hypertension,"Excessive pressure on arterial walls due to stress, poor diet, obesity, kidney disease, or genetics."
Migraine,"Neurological condition with abnormal brain activity affecting nerve signals, chemicals, and blood vessels."
Cervical spondylosis,Age-related wear and tear of cervical spine discs and vertebrae causing nerve compression.
Paralysis (brain hemorrhage),Bleeding in or around the brain due to ruptured blood vessel causing damage to brain tissue.
Jaundice,"Buildup of bilirubin in blood due to liver disease, bile duct obstruction, or excess red blood cell breakdown."
Malaria,Plasmodium parasite transmitted through bite of infected female Anopheles mosquito.
Chicken pox,Varicella-zoster virus spread through direct contact or airborne droplets from infected person.
Dengue,Dengue virus transmitted through bite of infected Aedes aegypti mosquito.
Typhoid,Salmonella typhi bacteria spread through contaminated food and water.
hepatitis A,"Hepatitis A virus spread through contaminated food, water, or close contact with infected person."
Hepatitis B,"Hepatitis B virus transmitted through blood, sexual contact, or mother to child during birth."
Hepatitis C,"Hepatitis C virus spread primarily through blood-to-blood contact, sharing needles or equipment."
Hepatitis D,Hepatitis D virus that only infects people already infected with Hepatitis B virus.
Hepatitis E,Hepatitis E virus spread through contaminated water and undercooked pork or wild game.
Alcoholic hepatitis,Liver inflammation caused by excessive and prolonged alcohol consumption damaging liver cells.
Tuberculosis,Mycobacterium tuberculosis bacteria spread through airborne droplets from coughs or sneezes of infected person.
Common Cold,Rhinovirus or other viruses spread through airborne droplets or touching contaminated surfaces.
Pneumonia,"Bacterial, viral, or fungal infection causing inflammation and fluid accumulation in lung air sacs."
Dimorphic hemmorhoids(piles),"Swollen veins in rectum or anus due to straining, constipation, pregnancy, or prolonged sitting."
Heart attack,Blockage of coronary arteries by plaque buildup cutting off blood supply to heart muscle.
Varicose veins,Weakened or damaged vein valves causing blood to pool and veins to enlarge and twist.
Hypothyroidism,Underactive thyroid gland producing insufficient thyroid hormone due to autoimmune disease or iodine deficiency.
Hyperthyroidism,"Overactive thyroid producing excess thyroid hormone due to Graves disease, nodules, or thyroiditis."
Hypoglycemia,"Blood sugar drops too low due to excess insulin, skipping meals, alcohol, or certain medications."
Osteoarthristis,"Breakdown of protective cartilage in joints due to aging, overuse, injury, or obesity."
Arthritis,"Joint inflammation due to autoimmune attack, infection, uric acid crystals, or cartilage wear."
(vertigo) Paroymsal  Positional Vertigo,Loose calcium crystals in inner ear canals causing false sensation of spinning when head moves.
Acne,Clogged hair follicles with oil and dead skin cells leading to bacterial growth and inflammation.
Urinary tract infection,Bacterial infection (usually E. coli) entering urethra and multiplying in urinary tract.
Psoriasis,"Autoimmune condition causing rapid skin cell turnover leading to thick, scaly, inflamed patches."
Impetigo,Highly contagious bacterial skin infection caused by Staphylococcus aureus or Streptococcus pyogenes.
