Disease,Diagnosis
Fungal infection,"Skin scraping test, KOH test, fungal culture, physical examination by dermatologist."
Allergy,"Skin prick test, blood test (IgE levels), patch test, elimination diet for food allergies."
GERD,"Endoscopy, pH monitoring, esophageal manometry, barium swallow X-ray."
Chronic cholestasis,"Liver function tests, ultrasound, MRCP, liver biopsy, blood tests for bilirubin levels."
Drug Reaction,"Medical history review, skin patch test, blood tests, drug provocation test by allergist."
Peptic ulcer diseae,"Endoscopy, H. pylori test, barium X-ray, blood/stool/breath tests."
AIDS,"HIV antibody test, CD4 count, viral load test, Western blot test."
Diabetes,"Fasting blood glucose, HbA1c test, oral glucose tolerance test, random blood sugar test."
Gastroenteritis,"Stool culture, blood tests, physical examination, electrolyte panel."
Bronchial Asthma,"Spirometry, peak flow test, chest X-ray, allergy testing, FeNO test."
Hypertension,"Blood pressure measurement, ECG, blood tests, urine test, echocardiogram."
Migraine,"Neurological examination, MRI, CT scan, headache diary review."
Cervical spondylosis,"X-ray, MRI, CT scan, nerve conduction study, physical examination."
Paralysis (brain hemorrhage),"CT scan, MRI, angiography, lumbar puncture, neurological examination."
Jaundice,"Bilirubin blood test, liver function tests, ultrasound, CT scan, liver biopsy."
Malaria,"Blood smear test, rapid diagnostic test (RDT), PCR test for malaria parasite."
Chicken pox,"Physical examination of rash, viral culture, PCR test, blood test for antibodies."
Dengue,"NS1 antigen test, dengue IgM/IgG antibody test, CBC for platelet count, PCR test."
Typhoid,"Widal test, blood culture, stool culture, urine culture, bone marrow culture."
hepatitis A,"Hepatitis A IgM antibody test, liver function tests, blood tests."
Hepatitis B,"HBsAg test, HBeAg test, HBV DNA test, liver function tests, liver biopsy."
Hepatitis C,"Anti-HCV antibody test, HCV RNA test, liver biopsy, fibroscan, liver function tests."
Hepatitis D,"Anti-HDV antibody test, HDV RNA test, liver function tests, liver biopsy."
Hepatitis E,"HEV IgM antibody test, HEV RNA test, liver function tests, blood tests."
Alcoholic hepatitis,"Liver function tests, bilirubin levels, liver biopsy, ultrasound, CT scan."
Tuberculosis,"Mantoux tuberculin test, sputum smear, chest X-ray, GeneXpert test, culture test."
Common Cold,"Physical examination, symptom review; rarely nasal swab or blood test needed."
Pneumonia,"Chest X-ray, sputum culture, blood tests, pulse oximetry, CT scan, bronchoscopy."
Dimorphic hemmorhoids(piles),"Physical rectal exam, anoscopy, sigmoidoscopy, colonoscopy to rule out other conditions."
Heart attack,"ECG, troponin blood test, chest X-ray, echocardiogram, coronary angiography."
Varicose veins,"Physical examination, duplex ultrasound, venogram."
Hypothyroidism,"TSH test, T3 T4 blood tests, thyroid antibody tests, thyroid ultrasound."
Hyperthyroidism,"TSH T3 T4 blood tests, thyroid antibody tests, radioiodine uptake test, thyroid scan."
Hypoglycemia,"Blood glucose test, fasting glucose test, mixed meal tolerance test, insulin level test."
Osteoarthristis,"X-ray, MRI, joint fluid analysis, blood tests to rule out other arthritis types."
Arthritis,"Blood tests (RF, anti-CCP, ESR), X-ray, MRI, ultrasound, joint fluid analysis."
(vertigo) Paroymsal  Positional Vertigo,"Dix-Hallpike test, neurological examination, MRI, CT scan, hearing tests."
Acne,"Physical skin examination by dermatologist, hormone level tests if hormonal acne suspected."
Urinary tract infection,"Urine culture, urinalysis, urine dipstick test, ultrasound, cystoscopy."
Psoriasis,"Physical skin examination, skin biopsy, blood tests to rule out psoriatic arthritis."
Impetigo,"Physical examination of skin lesions, bacterial culture of blister fluid or crust."
