Disease,Home_Remedies
Fungal infection,"Tea tree oil, apple cider vinegar, garlic paste, coconut oil, aloe vera gel application."
Allergy,"Saline nasal rinse, local honey, steam inhalation, turmeric milk, vitamin C rich foods."
GERD,"Elevate head while sleeping, ginger tea, aloe vera juice, baking soda in water, apple cider vinegar."
Chronic cholestasis,"Warm compress on abdomen, dandelion tea, milk thistle, stay hydrated, rest adequately."
Drug Reaction,"Stop the drug immediately, cool compress on rash, oatmeal bath, aloe vera, stay hydrated."
Peptic ulcer diseae,"Cabbage juice, honey, licorice root, probiotics, aloe vera juice, avoid spicy food."
AIDS,"Maintain hygiene, rest well, manage stress, avoid infections, herbal immune boosters under doctor guidance."
Diabetes,"Bitter gourd juice, fenugreek seeds, cinnamon water, amla juice, regular exercise, stress management."
Gastroenteritis,"ORS (oral rehydration solution), ginger tea, bananas, rice, toast, coconut water, rest."
Bronchial Asthma,"Steam inhalation, ginger tea, honey with black pepper, breathing exercises, avoid triggers."
Hypertension,"Garlic, hibiscus tea, beetroot juice, deep breathing, meditation, reduce salt intake."
Migraine,"Cold/warm compress, dark quiet room, peppermint oil, ginger tea, magnesium supplements, hydration."
Cervical spondylosis,"Hot/cold compress, neck exercises, proper pillow support, posture correction, yoga."
Paralysis (brain hemorrhage),"Physical therapy exercises, massage, speech therapy support, emotional support, occupational therapy."
Jaundice,"Sugarcane juice, tomato juice, lemon water, papaya leaf juice, adequate rest, hydration."
Malaria,"Ginger tea, fever management with cool compress, stay hydrated, rest, turmeric milk."
Chicken pox,"Oatmeal bath, calamine lotion, neem leaves bath, cool compress, trim nails to avoid scratching."
Dengue,"Papaya leaf juice, plenty of fluids, coconut water, rest, cool compress for fever."
Typhoid,"Stay hydrated, consume easily digestible foods, cold sponge for fever, rest completely."
hepatitis A,"Complete rest, plenty of fluids, avoid alcohol, light diet, ginger and turmeric tea."
Hepatitis B,"Milk thistle, turmeric, rest, avoid alcohol, maintain hygiene, stay hydrated."
Hepatitis C,"Milk thistle, avoid alcohol strictly, rest, stay hydrated, manage stress."
Hepatitis D,"Complete rest, avoid alcohol, nutritious diet, stay hydrated, manage stress."
Hepatitis E,"Bed rest, adequate hydration, light diet, avoid alcohol, maintain hygiene."
Alcoholic hepatitis,"Stop alcohol completely, rest, nutritious diet, stay hydrated, vitamin B supplements."
Tuberculosis,"Garlic, banana, black pepper with honey, adequate rest, sunlight exposure, stay well nourished."
Common Cold,"Honey lemon tea, ginger tea, steam inhalation, saline nasal spray, garlic soup, rest."
Pneumonia,"Steam inhalation, warm fluids, honey with ginger, turmeric milk, complete rest, stay warm."
Dimorphic hemmorhoids(piles),"Sitz bath, witch hazel, aloe vera, cold compress, fiber-rich foods, stay hydrated."
Heart attack,EMERGENCY — No home remedies. Call ambulance immediately. Aspirin if prescribed and available.
Varicose veins,"Elevate legs, compression stockings, cold water splash, exercise regularly, avoid prolonged standing."
Hypothyroidism,"Iodine-rich foods, selenium supplements, ashwagandha, regular exercise, stress management."
Hyperthyroidism,"Bugleweed herb, lemon balm tea, stress management, avoid iodine-rich foods, get adequate rest."
Hypoglycemia,"15g fast-acting sugar (juice, glucose tablets, honey), rest, recheck sugar after 15 minutes."
Osteoarthristis,"Hot and cold therapy, turmeric milk, gentle exercise, weight management, massage therapy."
Arthritis,"Turmeric and ginger tea, hot cold therapy, Epsom salt bath, massage, gentle stretching."
(vertigo) Paroymsal  Positional Vertigo,"Epley maneuver, avoid sudden head movements, ginger tea, stay hydrated, adequate rest."
Acne,"Tea tree oil, honey mask, aloe vera, ice on pimples, green tea toner, avoid touching face."
Urinary tract infection,"Cranberry juice, plenty of water, D-mannose supplement, avoid caffeine and alcohol, warm compress."
Psoriasis,"Aloe vera, coconut oil, oatmeal bath, dead sea salt bath, apple cider vinegar, sunlight exposure."
Impetigo,"Warm saline compress, manuka honey, tea tree oil diluted, keep area clean and dry."
