Disease,Risk_Factors
Fungal infection,"Weak immune system, diabetes, obesity, excessive sweating, tight clothing, shared public spaces."
Allergy,"Family history of allergies, asthma, childhood exposure to allergens, weakened immune system."
GERD,"Obesity, pregnancy, smoking, hiatal hernia, fatty foods, alcohol consumption, lying down after meals."
Chronic cholestasis,"Liver disease, autoimmune conditions, long-term medication use, pregnancy, genetic disorders."
Drug Reaction,"Previous drug allergies, family history, HIV infection, certain genetic variants, multiple medications."
Peptic ulcer diseae,"H. pylori infection, regular NSAID use, smoking, alcohol, stress, family history of ulcers."
AIDS,"Unprotected sex, sharing needles, blood transfusions, mother-to-child transmission during birth."
Diabetes,"Obesity, family history, sedentary lifestyle, age above 45, high blood pressure, gestational diabetes."
Gastroenteritis,"Poor hygiene, contaminated water, weakened immunity, travel to high-risk areas, childcare exposure."
Bronchial Asthma,"Family history, allergies, obesity, smoking, air pollution, occupational chemical exposure."
Hypertension,"Age, family history, obesity, smoking, high sodium diet, alcohol, stress, sedentary lifestyle."
Migraine,"Family history, hormonal changes, stress, sleep disruption, certain foods, bright lights, strong smells."
Cervical spondylosis,"Age above 40, sedentary lifestyle, poor posture, neck injuries, repetitive neck movements."
Paralysis (brain hemorrhage),"High blood pressure, blood thinners, head trauma, aneurysm, arteriovenous malformation, age."
Jaundice,"Liver disease, hepatitis, alcohol abuse, gallstones, certain medications, blood disorders."
Malaria,"Travel to tropical regions, lack of mosquito protection, weak immunity, pregnancy."
Chicken pox,"No prior vaccination, close contact with infected person, weakened immune system, pregnancy."
Dengue,"Living in or traveling to tropical areas, previous dengue infection, lack of mosquito control."
Typhoid,"Travel to developing countries, poor sanitation, contaminated water, close contact with carrier."
hepatitis A,"Poor sanitation, travel to high-risk areas, eating raw shellfish, close contact with infected."
Hepatitis B,"Unprotected sex, sharing needles, healthcare workers, unvaccinated individuals, multiple partners."
Hepatitis C,"IV drug use, blood transfusions before 1992, tattoos with unsterilized equipment, healthcare exposure."
Hepatitis D,"Existing Hepatitis B infection, IV drug use, unprotected sex, blood transfusions."
Hepatitis E,"Travel to developing countries, poor sanitation, drinking contaminated water, pregnancy."
Alcoholic hepatitis,"Heavy drinking over many years, malnutrition, obesity, female sex, genetic predisposition."
Tuberculosis,"HIV infection, malnutrition, diabetes, smoking, close contact with TB patient, overcrowded living."
Common Cold,"Weakened immunity, winter season, close contact with infected, stress, lack of sleep."
Pneumonia,"Age above 65 or below 2, smoking, chronic diseases, weakened immune system, hospitalization."
Dimorphic hemmorhoids(piles),"Chronic constipation, low fiber diet, obesity, pregnancy, prolonged sitting, straining during bowel movements."
Heart attack,"High blood pressure, high cholesterol, smoking, diabetes, obesity, family history, stress."
Varicose veins,"Prolonged standing, obesity, pregnancy, age, family history, female sex, sedentary lifestyle."
Hypothyroidism,"Female sex, age above 60, autoimmune disease, thyroid surgery, radiation therapy, family history."
Hyperthyroidism,"Female sex, family history, autoimmune conditions, pregnancy, high iodine intake, age 20-40."
Hypoglycemia,"Diabetes medications, skipping meals, excessive exercise, alcohol consumption, certain tumors."
Osteoarthristis,"Age above 50, obesity, joint injuries, repetitive movements, female sex, family history."
Arthritis,"Age, family history, obesity, joint injury, smoking, female sex for rheumatoid arthritis."
(vertigo) Paroymsal  Positional Vertigo,"Age above 50, head injury, inner ear infections, prolonged bed rest, osteoporosis, female sex."
Acne,"Hormonal changes, puberty, stress, certain medications, oily skin, cosmetics, diet high in sugar."
Urinary tract infection,"Female anatomy, sexual activity, menopause, urinary catheters, kidney stones, weakened immunity."
Psoriasis,"Family history, stress, infections, smoking, obesity, certain medications, skin injury."
Impetigo,"Children aged 2-5, skin injuries, warm humid climate, crowded settings, poor hygiene."
